Country,Gender,Age,Time,Start Time
RUS,M,30,155.71666666666667,0.23333333333333334
NED,M,35,155.75,0.13333333333333333
GBR,M,30,155.78333333333333,0.3333333333333333
POR,M,35,155.81666666666666,0.06666666666666667
CAN,M,30,155.86666666666667,0.1
USA,M,40,155.9,0.3
AUS,M,45,155.9,0.11666666666666667
FIN,M,35,155.91666666666666,0.13333333333333333
GER,M,35,155.91666666666666,0.15
GER,M,35,155.95,0.45
NOR,M,40,155.95,0.13333333333333333
ITA,M,45,155.98333333333332,0.0
GER,M,35,156.01666666666668,0.25
FRA,M,30,156.05,0.11666666666666667
SWE,M,30,156.1,0.15
AUT,M,35,156.11666666666667,0.1
USA,M,30,156.13333333333333,0.1
DEN,M,35,156.23333333333332,0.11666666666666667
AUS,M,30,156.28333333333333,0.36666666666666664
POL,M,30,156.28333333333333,0.16666666666666666
NOR,M,35,156.33333333333334,0.13333333333333333
ESP,M,40,156.36666666666667,0.1
GER,M,35,156.4,0.16666666666666666
GER,M,35,156.4,0.1
GER,M,35,156.4,0.5
AUT,M,30,156.43333333333334,0.16666666666666666
FRA,M,35,156.45,0.16666666666666666
NOR,M,35,156.45,0.2833333333333333
CHI,M,45,156.46666666666667,0.2
NED,M,40,156.46666666666667,0.06666666666666667
CAN,M,30,156.58333333333334,0.23333333333333334
GBR,M,30,156.6,0.15
ISR,M,35,156.8,0.15
GER,M,30,156.81666666666666,0.2
IRL,M,35,156.95,0.2
GER,M,40,156.95,0.21666666666666667
SUI,M,30,156.96666666666667,0.26666666666666666
SWE,M,35,157.03333333333333,0.11666666666666667
DEN,M,40,157.08333333333334,0.3
ESP,M,35,157.08333333333334,0.11666666666666667
DEN,M,35,157.08333333333334,0.43333333333333335
GBR,M,35,157.1,0.11666666666666667
TUR,M,35,157.1,0.11666666666666667
GER,M,40,157.11666666666667,0.08333333333333333
GER,M,35,157.11666666666667,0.11666666666666667
BEL,M,40,157.13333333333333,0.1
USA,M,35,157.21666666666667,0.4166666666666667
URU,M,30,157.25,0.08333333333333333
GBR,M,30,157.3,0.13333333333333333
DEN,M,30,157.31666666666666,0.15
FRA,M,30,157.46666666666667,0.21666666666666667
NOR,M,45,157.51666666666668,0.25
DEN,M,45,157.53333333333333,0.13333333333333333
RUS,M,45,157.68333333333334,0.35
NOR,M,35,157.7,0.13333333333333333
MAR,M,40,157.7,0.13333333333333333
BEL,M,30,157.71666666666667,0.16666666666666666
IRL,M,40,157.76666666666668,0.16666666666666666
GER,M,35,157.8,0.08333333333333333
USA,M,30,157.83333333333334,0.3
NOR,M,35,157.86666666666667,0.11666666666666667
GER,M,35,157.88333333333333,0.26666666666666666
GBR,M,45,157.9,0.1
NED,M,35,157.9,0.2833333333333333
CAN,M,35,157.96666666666667,0.15
RUS,M,30,158.01666666666668,0.16666666666666666
RUS,M,35,158.08333333333334,0.1
GER,M,30,158.13333333333333,0.16666666666666666
POL,M,30,158.23333333333332,0.11666666666666667
IRL,M,40,158.25,0.25
GER,M,35,158.26666666666668,0.11666666666666667
IRL,M,35,158.33333333333334,0.35
GBR,M,40,158.38333333333333,0.16666666666666666
NED,M,35,158.4,0.0
ITA,M,30,158.43333333333334,0.4166666666666667
NOR,M,45,158.5,0.15
ITA,M,30,158.5,0.1
NOR,M,35,158.53333333333333,0.2833333333333333
JPN,M,30,158.55,0.11666666666666667
FRA,M,40,158.6,0.25
IRL,M,30,158.66666666666666,0.26666666666666666
LAT,M,45,158.68333333333334,0.11666666666666667
NOR,M,35,158.68333333333334,0.16666666666666666
NOR,M,35,158.7,0.13333333333333333
IRL,M,35,158.7,0.16666666666666666
NOR,M,40,158.73333333333332,0.15
ESP,M,35,158.75,0.35
IRL,M,45,158.75,0.2
TUR,M,35,158.83333333333334,0.18333333333333332
NED,M,35,158.83333333333334,0.0
RUS,M,35,158.88333333333333,0.31666666666666665
GBR,M,45,158.96666666666667,0.23333333333333334
IRL,M,45,159.05,0.18333333333333332
NOR,M,35,159.05,0.35
CHI,M,35,159.06666666666666,0.25
ITA,M,40,159.15,0.18333333333333332
IRL,M,30,159.21666666666667,0.13333333333333333
AUS,M,40,159.23333333333332,1.25
ESP,M,35,159.26666666666668,0.0
GBR,M,35,159.31666666666666,0.0
GBR,M,35,159.31666666666666,0.11666666666666667
LTU,M,30,159.35,0.1
USA,M,35,159.35,0.26666666666666666
USA,M,35,159.36666666666667,0.15
CHN,M,35,159.36666666666667,0.36666666666666664
IRL,M,35,159.36666666666667,0.15
UKR,M,35,159.46666666666667,0.2833333333333333
JPN,M,30,159.51666666666668,0.08333333333333333
POL,M,30,159.51666666666668,0.2833333333333333
ARG,M,40,159.53333333333333,0.08333333333333333
POL,M,35,159.56666666666666,0.13333333333333333
GBR,M,35,159.56666666666666,0.08333333333333333
IRL,M,35,159.56666666666666,0.16666666666666666
SWE,M,40,159.58333333333334,0.2
FRA,M,45,159.61666666666667,0.06666666666666667
IRL,M,40,159.63333333333333,0.2
GER,M,45,159.68333333333334,0.15
FRA,M,35,159.7,0.5
BRA,M,40,159.73333333333332,0.11666666666666667
CHN,M,40,159.75,0.08333333333333333
FRA,M,30,159.76666666666668,0.1
ESP,M,35,159.83333333333334,0.21666666666666667
FRA,M,40,159.83333333333334,0.2833333333333333
FRA,M,40,159.9,0.26666666666666666
NOR,M,40,159.93333333333334,0.11666666666666667
SWE,M,40,160.0,0.2833333333333333
GER,M,30,160.03333333333333,0.25
USA,M,35,160.05,0.21666666666666667
SUI,M,45,160.15,0.16666666666666666
DEN,M,40,160.16666666666666,0.15
DEN,M,40,160.18333333333334,0.5666666666666667
AUS,M,30,160.2,0.6333333333333333
GER,M,30,160.2,0.4
BEL,M,40,160.21666666666667,0.15
GBR,M,40,160.23333333333332,0.5166666666666667
SVK,M,45,160.31666666666666,0.5166666666666667
BEL,M,35,160.33333333333334,0.13333333333333333
SWE,M,35,160.38333333333333,0.2833333333333333
ESP,M,40,160.41666666666666,0.21666666666666667
CAN,M,50,160.43333333333334,0.26666666666666666
GER,M,50,160.58333333333334,0.11666666666666667
GBR,M,45,160.6,0.2833333333333333
IRL,M,40,160.73333333333332,0.18333333333333332
GER,M,35,160.73333333333332,0.1
POL,M,35,160.73333333333332,0.13333333333333333
POL,M,30,160.75,0.16666666666666666
NED,M,35,160.75,0.13333333333333333
USA,M,35,160.81666666666666,0.4666666666666667
AUS,M,35,160.88333333333333,0.11666666666666667
GER,M,35,160.93333333333334,0.5166666666666667
GBR,M,35,160.93333333333334,0.38333333333333336
FRA,M,40,160.96666666666667,0.11666666666666667
AUS,M,45,160.98333333333332,0.25
CAN,M,30,161.01666666666668,0.4
GER,M,35,161.08333333333334,0.5333333333333333
FRA,M,30,161.15,0.16666666666666666
CRC,M,35,161.16666666666666,0.06666666666666667
GBR,M,35,161.18333333333334,0.36666666666666664
FRA,M,30,161.26666666666668,0.26666666666666666
NED,M,35,161.3,0.06666666666666667
FRA,M,35,161.33333333333334,0.7
NOR,M,35,161.36666666666667,0.4666666666666667
MEX,M,35,161.41666666666666,0.2833333333333333
PAN,M,30,161.41666666666666,0.45
GER,M,30,161.46666666666667,0.26666666666666666
MEX,M,35,161.51666666666668,0.35
FRA,M,45,161.51666666666668,1.1166666666666667
GBR,M,40,161.55,0.25
GER,M,35,161.61666666666667,0.1
USA,M,35,161.63333333333333,0.23333333333333334
NED,M,35,161.63333333333333,0.4166666666666667
GBR,M,40,161.65,0.15
ESP,M,45,161.75,0.1
ESP,M,40,161.76666666666668,0.18333333333333332
NED,M,30,161.78333333333333,0.4666666666666667
GBR,M,35,161.8,0.6833333333333333
DEN,M,30,161.83333333333334,0.3333333333333333
SIN,M,30,161.95,0.23333333333333334
NOR,M,35,161.96666666666667,0.16666666666666666
IRL,M,30,161.98333333333332,0.38333333333333336
USA,M,30,162.0,0.23333333333333334
POL,M,40,162.05,0.25
NOR,M,45,162.1,0.21666666666666667
GER,M,40,162.13333333333333,0.21666666666666667
FRA,M,35,162.18333333333334,0.08333333333333333
ITA,M,35,162.18333333333334,0.38333333333333336
POL,M,40,162.21666666666667,0.3333333333333333
GBR,M,40,162.23333333333332,0.11666666666666667
ITA,M,30,162.25,0.1
GER,M,35,162.25,0.13333333333333333
GER,M,35,162.3,0.2833333333333333
SIN,M,35,162.3,0.23333333333333334
NED,M,35,162.31666666666666,0.26666666666666666
GER,M,35,162.33333333333334,0.08333333333333333
ESP,M,40,162.36666666666667,0.3
POR,M,55,162.36666666666667,0.31666666666666665
USA,M,40,162.36666666666667,0.43333333333333335
GER,M,35,162.41666666666666,0.48333333333333334
POL,M,35,162.43333333333334,0.5833333333333334
DEN,M,40,162.43333333333334,0.23333333333333334
ITA,M,40,162.43333333333334,0.23333333333333334
NOR,M,35,162.5,0.13333333333333333
FRA,M,35,162.5,0.1
NOR,M,30,162.51666666666668,0.2833333333333333
POL,M,35,162.51666666666668,0.7833333333333333
FRA,M,30,162.58333333333334,0.16666666666666666
POL,M,35,162.61666666666667,0.55
USA,M,30,162.61666666666667,0.85
GBR,M,30,162.63333333333333,0.36666666666666664
USA,M,35,162.65,0.5
GBR,M,35,162.65,0.38333333333333336
CHI,M,45,162.66666666666666,0.26666666666666666
POL,M,30,162.7,0.15
NOR,M,45,162.73333333333332,0.5333333333333333
